RD1_WIN,RD2_WIN,RD3_WIN,RD4_WIN,RD5_WIN,RD6_WIN,RD7_WIN,TEAM_NAME,TEAM_RATING,TEAM_SEED,RANK,PCT,RPI,PCT_NC,RPI_NC,RANK_NC,PCT_C,RPI_C,RANK_OLD,ROAD,NC,OPP,WIN,LOSS,WL_1_25,WL_26_50,WL_51_100,WL_101_200,WL_201,ND1
1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,Kansas,94.46,1,1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1
1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,Virginia,92.46,1,2,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0
1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,Villanova,91.29,2,3,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0
1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,Oregon,88,1,4,0.8,0.6538,0.8333,0.6303,9,0.7778,0.6693,2,0.545455,0.5,88,94,64,0.8,0.714286,0.8,0.666667,1,1
1,0.95858319,0.82132961,0.53341957,0.31970067,0.14305305,0.06818847,Oklahoma,89.96,2,5,0.8,0.6457,1,0.6485,4,0.6667,0.6412,11,0.583333,1,98,115,28,0.555556,0.8,0.8,1,1,0
1,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.0181018,Xavier,87.73,2,6,0.8667,0.6454,1,0.6514,3,0.7778,0.6431,9,0.727273,1,110,118,59,0.666667,0.875,0.75,0.909091,1,0
1,0.85764429,0.3619327,0.14119841,0.04926454,0.02537413,0.010445,Miami (Fla.),87.05,3,7,0.8,0.6417,0.9167,0.6191,16,0.7222,0.6555,5,0.545455,1,98,104,75,0.666667,1,0.857143,0.625,1,0
1,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00821315,Utah,86.64,3,8,0.7667,0.6358,0.8333,0.63,10,0.7222,0.6407,12,0.5,0.75,91,110,27,0.428571,0.75,0.875,1,1,1
1,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14958335,North Carolina,93.94,1,9,0.8065,0.6357,0.8462,0.6286,11,0.7778,0.6425,10,0.545455,1,101,119,28,0.428571,0.5,0.888889,1,1,0
1,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03412325,West Virginia,89.3,3,10,0.7742,0.6311,0.8462,0.6046,25,0.7222,0.6521,6,0.636364,0.8,100,124,17,0.333333,1,0.75,1,1,0
1,0.79464229,0.42966905,0.13410495,0.06285836,0.03180373,0.01283992,Maryland,87.37,5,12,0.7667,0.6224,0.9167,0.6235,13,0.6667,0.6243,18,0.4,1,118,136,59,0.333333,0.666667,0.8,1,0.857143,1
1,0.92530662,0.61058029,0.25123833,0.15873487,0.08473556,0.0444333,Kentucky,90.69,4,13,0.7419,0.621,0.7692,0.6189,17,0.7222,0.6221,19,0.363636,0.666667,105,114,82,0.5,0,0.769231,0.7,1,0
1,0.9485191,0.77629788,0.59476162,0.33937835,0.17270088,0.08938092,Michigan State,91.84,2,14,0.8387,0.6203,1,0.6382,7,0.7222,0.6117,26,0.7,1,126,140,52,0.571429,0.666667,1,0.875,1,0
1,0.85542774,0.47614677,0.1086855,0.03999135,0.01902739,0.00718934,California,86.53,4,15,0.7097,0.6193,0.7692,0.5814,50,0.6667,0.6467,8,0.363636,0,95,118,39,0.428571,0.571429,0.857143,0.8,1,0
1,0.8419116,0.51862565,0.24470148,0.12956658,0.05802096,0.02684345,Purdue,88.68,5,16,0.7742,0.6187,0.9231,0.6184,18,0.6667,0.6207,21,0.5,0.666667,120,141,50,0.333333,0.75,0.8,0.909091,1,0
1,0.84597916,0.54298653,0.26249249,0.12109972,0.04355837,0.01716773,Duke,87.33,4,18,0.7188,0.6154,0.8462,0.6308,8,0.6316,0.6113,27,0.555556,0.6,89,110,37,0.444444,0.5,0.8,0.909091,1,0
1,0.84070229,0.40173385,0.14743067,0.06397299,0.02509005,0.01033866,Iowa State,86.5,4,19,0.6774,0.6128,0.8462,0.6179,19,0.5556,0.6105,29,0.363636,0.75,89,120,23,0.4,0.5,0.8,1,1,0
1,0.52355784,0.11287306,0.05315441,0.01567429,0.00449066,0.00140508,Dayton,82.37,7,20,0.8,0.6121,0.8333,0.628,12,0.7778,0.6012,35,0.8,0.666667,120,131,75,0.5,0.5,0.857143,0.916667,0.8,0
1,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01140497,Indiana,87.36,5,21,0.8065,0.6117,0.7692,0.5556,84,0.8333,0.6492,7,0.6,0.5,134,148,78,0.666667,0.666667,1,0.7,1,0
1,0.88231513,0.5494919,0.24167014,0.12413686,0.05241442,0.02375483,Texas A&M,86.82,3,22,0.7742,0.611,0.8462,0.6223,15,0.7222,0.6044,32,0.5,0.666667,117,128,80,1,1,0.538462,0.857143,1,0
1,0.72194021,0.18532737,0.09020343,0.03229494,0.01590512,0.00623653,Iowa,85.91,7,23,0.7,0.6065,0.75,0.5747,61,0.6667,0.6283,16,0.545455,0.5,114,146,38,0.444444,0.333333,0.75,0.857143,1,0
1,0.70010916,0.32721314,0.12683644,0.05881695,0.02138579,0.00850876,Texas,84.66,6,24,0.6452,0.6061,0.6923,0.5743,62,0.6111,0.6291,15,0.5,0.25,82,103,44,0.5,0.5,0.7,0.75,1,0
1,0.5143169,0.32042143,0.14781034,0.06042232,0.03637168,0.01783296,Arizona,89.04,6,25,0.7742,0.6016,0.9231,0.5876,44,0.6667,0.6135,24,0.5,0.666667,117,141,35,0.25,0.5,1,0.666667,1,0
1,0.61274924,0.27071246,0.13099527,0.060489,0.02387947,0.01020742,Baylor,85.47,5,27,0.6667,0.5997,0.8333,0.6125,21,0.5556,0.6067,30,0.545455,0,100,145,12,0.25,0.5,1,1,1,1
1,0.26556296,0.02682859,0.00814584,0.00234282,0.00034214,6.00E-05,Oregon State,77.63,7,28,0.6207,0.5961,0.8,0.6003,34,0.5263,0.597,40,0.333333,1,88,117,42,0.375,0.6,0.625,0.666667,1,1
1,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396854,Wisconsin,84.75,7,29,0.6452,0.5949,0.6154,0.5467,97,0.6667,0.6295,14,0.545455,0.5,104,119,76,0.4,1,1,0.6,0.8,0
1,0.36337233,0.03928262,0.01515909,0.00416723,0.00154824,0.00045187,Colorado,81.46,8,30,0.6774,0.5948,0.8333,0.5863,47,0.5789,0.6064,31,0.363636,0.5,106,141,31,0.333333,0.333333,0.833333,0.833333,1,1
1,0.20535771,0.06034051,0.00741602,0.00161258,0.00046164,0.00010352,South Dakota State,78.64,12,31,0.7742,0.5936,0.75,0.5932,38,0.7895,0.5906,45,0.533333,1,166,174,139,0,0,0.75,0.789474,0.857143,1
1,0.39351391,0.09322671,0.03568588,0.0112186,0.00263522,0.00071271,Saint Joseph's,81.61,8,32,0.7742,0.5934,0.8462,0.6046,26,0.7222,0.5868,49,0.909091,0.5,135,159,53,0.5,0.25,0.6,0.923077,1,0
1,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232979,Seton Hall,84.46,6,34,0.7333,0.5929,0.8333,0.5691,68,0.6667,0.613,25,0.636364,0.666667,128,158,44,0.25,0.6,0.5,1,1,0
