"PLAYIN_FLAG","RD1_WIN","RD2_WIN","RD3_WIN","RD4_WIN","RD5_WIN","RD6_WIN","RD7_WIN","TEAM_ALIVE","TEAM_ID","TEAM_NAME","TEAM_RATING","TEAM_REGION","TEAM_SEED","RANK","SCHOOL","WL","PCT","RPI","WL_NC","PCT_NC","RPI_NC","RANK_NC","WL_C","PCT_C","RPI_C","RANK_OLD","ROAD","NC","OPP","WIN","LOSS","WL_1_25","WL_26_50","WL_51_100","WL_101_200","WL_201","ND1"
0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,1,2305,"Kansas",94.46,"South","1",1,"Kansas","26-4",0.8667,0.6713,"11-1",0.9167,0.6463,5,"15-3",0.8333,0.688,1,"7-3","2-1",85,90,53,"7-3","6-0","4-0","6-1","3-0","1-0"
0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,1,258,"Virginia",92.46,"Midwest","1",2,"Virginia","24-6",0.8,0.6575,"11-1",0.9167,0.6594,2,"13-5",0.7222,0.6557,4,"5-6","4-0",92,102,52,"7-2","2-0","5-4","7-0","3-0","0-0"
0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,1,222,"Villanova",91.29,"South","2",3,"Villanova","27-4",0.871,0.6565,"11-2",0.8462,0.6409,6,"16-2",0.8889,0.667,3,"10-2","2-1",105,118,14,"1-3","7-1","6-0","7-0","6-0","0-0"
0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,1,2483,"Oregon",88,"West","1",4,"Oregon","24-6",0.8,0.6538,"10-2",0.8333,0.6303,9,"14-4",0.7778,0.6693,2,"6-5","1-1",88,94,64,"4-1","5-2","8-2","2-1","5-0","1-0"
0,1,0.95858319,0.82132961,0.53341957,0.31970067,0.14305305,0.06818847,1,201,"Oklahoma",89.96,"West","2",5,"Oklahoma","24-6",0.8,0.6457,"12-0",1,0.6485,4,"12-6",0.6667,0.6412,11,"7-5","3-0",98,115,28,"5-4","4-1","4-1","8-0","3-0","0-0"
0,1,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.0181018,1,2752,"Xavier",87.73,"East","2",6,"Xavier","26-4",0.8667,0.6454,"12-0",1,0.6514,3,"14-4",0.7778,0.6431,9,"8-3","3-0",110,118,59,"2-1","7-1","3-1","10-1","4-0","0-0"
0,1,0.85764429,0.3619327,0.14119841,0.04926454,0.02537413,0.010445,1,2390,"Miami (Fla.)",87.05,"South","3",7,"Miami (Fla.)","24-6",0.8,0.6417,"11-1",0.9167,0.6191,16,"13-5",0.7222,0.6555,5,"6-5","3-0",98,104,75,"4-2","5-0","6-1","5-3","4-0","0-0"
0,1,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00821315,1,254,"Utah",86.64,"Midwest","3",8,"Utah","23-7",0.7667,0.6358,"10-2",0.8333,0.63,10,"13-5",0.7222,0.6407,12,"5-5","3-1",91,110,27,"3-4","6-2","7-1","1-0","6-0","1-0"
0,1,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14958335,1,153,"North Carolina",93.94,"East","1",9,"North Carolina","25-6",0.8065,0.6357,"11-2",0.8462,0.6286,11,"14-4",0.7778,0.6425,10,"6-5","4-0",101,119,28,"3-4","1-1","8-1","7-0","6-0","0-0"
0,1,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03412325,1,277,"West Virginia",89.3,"East","3",10,"West Virginia","24-7",0.7742,0.6311,"11-2",0.8462,0.6046,25,"13-5",0.7222,0.6521,6,"7-4","4-1",100,124,17,"3-6","5-0","3-1","8-0","5-0","0-0"
