TEAMRESULT,A_PCT,A_RPI,A_PCT_NC,A_RPI_NC,A_RANK_NC,A_PCT_C,A_RPI_C,A_RANK_C,A_ROAD,A_NC,A_OPP,A_WIN_F,A_LOST_F,A_WL_1_25,A_WL_26_50,A_WL_51_100,A_WL_101_200,A_WL_201,A_ND1,B_PCT,B_RPI,B_PCT_NC,B_RPI_NC,B_RANK_NC,B_PCT_C,B_RPI_C,B_RANK_C,B_ROAD,B_NC,B_OPP,B_WIN_F,B_LOST_F,B_WL_1_25,B_WL_26_50,B_WL_51_100,B_WL_101_200,B_WL_201,B_ND1,PLAYIN_FLAG,RD1_WIN,RD2_WIN,RD3_WIN,RD4_WIN,RD5_WIN,RD6_WIN,RD7_WIN,TEAM_RATING,TEAM_SEED,PLAYIN_FLAG_1,RD1_WIN_1,RD2_WIN_1,RD3_WIN_1,RD4_WIN_1,RD5_WIN_1,RD6_WIN_1,RD7_WIN_1,TEAM_RATING_1,TEAM_SEED_1
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6452,0.6061,0.6923,0.5743,62,0.6111,0.6291,15,0.5,0.25,82,103,44,0.5,0.5,0.7,0.75,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.70010916,0.32721314,0.12683644,0.05881695,0.02138579,0.00850876,84.66,6
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6129,0.5918,0.8333,0.6228,14,0.4737,0.5866,50,0.3,0.5,93,126,40,0.272727,0.666667,0.75,0.8,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040447,81.27,8
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6667,0.5997,0.8333,0.6125,21,0.5556,0.6067,30,0.545455,0,100,145,12,0.25,0.5,1,1,1,1,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.61274924,0.27071246,0.13099527,0.060489,0.02387947,0.01020742,85.47,5
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.8,0.6457,1,0.6485,4,0.6667,0.6412,11,0.583333,1,98,115,28,0.555556,0.8,0.8,1,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.95858319,0.82132961,0.53341957,0.31970067,0.14305305,0.06818847,89.96,2
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.7742,0.6311,0.8462,0.6046,25,0.7222,0.6521,6,0.636364,0.8,100,124,17,0.333333,1,0.75,1,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03412325,89.3,3
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.7419,0.621,0.7692,0.6189,17,0.7222,0.6221,19,0.363636,0.666667,105,114,82,0.5,0,0.769231,0.7,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.92530662,0.61058029,0.25123833,0.15873487,0.08473556,0.0444333,90.69,4
0,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6774,0.6128,0.8462,0.6179,19,0.5556,0.6105,29,0.363636,0.75,89,120,23,0.4,0.5,0.8,1,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.84070229,0.40173385,0.14743067,0.06397299,0.02509005,0.01033866,86.5,4
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6452,0.6061,0.6923,0.5743,62,0.6111,0.6291,15,0.5,0.25,82,103,44,0.5,0.5,0.7,0.75,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.70010916,0.32721314,0.12683644,0.05881695,0.02138579,0.00850876,84.66,6
0,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.7742,0.6311,0.8462,0.6046,25,0.7222,0.6521,6,0.636364,0.8,100,124,17,0.333333,1,0.75,1,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03412325,89.3,3
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6129,0.5918,0.8333,0.6228,14,0.4737,0.5866,50,0.3,0.5,93,126,40,0.272727,0.666667,0.75,0.8,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040447,81.27,8
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.8,0.6457,1,0.6485,4,0.6667,0.6412,11,0.583333,1,98,115,28,0.555556,0.8,0.8,1,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.95858319,0.82132961,0.53341957,0.31970067,0.14305305,0.06818847,89.96,2
