TEAMRESULT,RK,SEED,S16,E8,FF,NC,W_SIM,CURRENTWINPCT,OVERALLWINPCT,RK_1,SEED_1,S16_1,E8_1,FF_1,NC_1,W_SIM_1,CURRENTWINPCT_1,OVERALLWINPCT_1
0,68,16,0.08,0.00,0.00,0.00,0.02,0.391,0.391,6,2,65.36,39.84,21.88,6.10,2.4,0.689,0.66
1,6,2,65.36,39.84,21.88,6.10,2.4,0.689,0.66,68,16,0.08,0.00,0.00,0.00,0.02,0.391,0.391
1,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617,64,16,0.02,0.02,0.00,0.00,0.02,0.512,0.512
0,64,16,0.02,0.02,0.00,0.00,0.02,0.512,0.512,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617
0,48,10,2.86,0.50,0.12,0.00,0.24,0.643,0.65,4,1,77.58,48.00,29.06,8.62,2.77,0.771,0.789
1,4,1,77.58,48.00,29.06,8.62,2.77,0.771,0.789,48,10,2.86,0.50,0.12,0.00,0.24,0.643,0.65
1,21,5,33.70,16.94,7.74,0.72,1.34,0.596,0.599,49,14,4.56,1.12,0.06,0.00,0.19,0.871,0.871
0,49,14,4.56,1.12,0.06,0.00,0.19,0.871,0.871,21,5,33.70,16.94,7.74,0.72,1.34,0.596,0.599
1,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562
0,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758
1,11,4,55.72,32.06,16.30,2.20,1.99,0.788,0.765,30,10,21.10,8.04,3.26,0.22,0.95,0.706,0.646
0,30,10,21.10,8.04,3.26,0.22,0.95,0.706,0.646,11,4,55.72,32.06,16.30,2.20,1.99,0.788,0.765
1,12,3,48.90,22.30,9.34,2.04,1.79,0.674,0.605,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596
0,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596,12,3,48.90,22.30,9.34,2.04,1.79,0.674,0.605
0,48,10,2.86,0.50,0.12,0.00,0.24,0.643,0.65,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54
1,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54,48,10,2.86,0.50,0.12,0.00,0.24,0.643,0.65
0,31,11,16.48,6.65,2.08,0.34,0.81,0.606,0.618,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679
1,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679,31,11,16.48,6.65,2.08,0.34,0.81,0.606,0.618
0,21,5,33.70,16.94,7.74,0.72,1.34,0.596,0.599,13,1,59.26,30.76,14.38,1.92,2.09,0.706,0.647
1,13,1,59.26,30.76,14.38,1.92,2.09,0.706,0.647,21,5,33.70,16.94,7.74,0.72,1.34,0.596,0.599
1,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54,61,15,1.00,0.10,0.00,0.00,0.09,0.65,0.65
0,61,15,1.00,0.10,0.00,0.00,0.09,0.65,0.65,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54
1,14,5,45.56,19.86,10.22,1.80,1.71,0.553,0.611,64,16,0.02,0.02,0.00,0.00,0.02,0.512,0.512
0,64,16,0.02,0.02,0.00,0.00,0.02,0.512,0.512,14,5,45.56,19.86,10.22,1.80,1.71,0.553,0.611
0,49,14,4.56,1.12,0.06,0.00,0.19,0.871,0.871,46,11,6.12,1.72,0.46,0.00,0.35,0.652,0.652
0,58,13,1.76,0.16,0.02,0.00,0.17,0.686,0.686,45,7,9.48,2.62,0.64,0.00,0.51,0.581,0.624
1,45,7,9.48,2.62,0.64,0.00,0.51,0.581,0.624,58,13,1.76,0.16,0.02,0.00,0.17,0.686,0.686
0,2,1,75.56,55.46,35.40,13.28,3,0.823,0.759,1,2,77.78,60.36,35.38,14.40,3.08,0.72,0.72
1,1,2,77.78,60.36,35.38,14.40,3.08,0.72,0.72,2,1,75.56,55.46,35.40,13.28,3,0.823,0.759
1,46,11,6.12,1.72,0.46,0.00,0.35,0.652,0.652,49,14,4.56,1.12,0.06,0.00,0.19,0.871,0.871
1,47,11,7.40,1.91,0.39,0.00,0.49,0.662,0.622,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716
0,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716,47,11,7.40,1.91,0.39,0.00,0.49,0.662,0.622
0,11,4,55.72,32.06,16.30,2.20,1.99,0.788,0.765,9,4,50.94,25.38,13.48,3.44,1.89,0.824,0.78
1,9,4,50.94,25.38,13.48,3.44,1.89,0.824,0.78,11,4,55.72,32.06,16.30,2.20,1.99,0.788,0.765
0,65,14,0.64,0.00,0.00,0.00,0.09,0.588,0.588,38,8,10.86,3.56,1.08,0.08,0.51,0.596,0.596
1,38,8,10.86,3.56,1.08,0.08,0.51,0.596,0.596,65,14,0.64,0.00,0.00,0.00,0.09,0.588,0.588
0,52,13,1.96,0.20,0.04,0.00,0.13,0.553,0.553,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617
1,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617,52,13,1.96,0.20,0.04,0.00,0.13,0.553,0.553
0,37,8,8.90,2.66,0.72,0.10,0.57,0.484,0.669,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596
1,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596,37,8,8.90,2.66,0.72,0.10,0.57,0.484,0.669
1,12,3,48.90,22.30,9.34,2.04,1.79,0.674,0.605,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54
