SCHOOL,RK,SEED,S16,E8,FF,NC,W_SIM,CURRENTWINPCT,OVERALLWINPCT
Arizona,17,6,28.82,13.26,5.62,1.2,1.07,0.758,0.742
Little Rock,55,12,3.66,0.32,0.02,0,0.17,0.879,0.879
Austin Peay,64,16,0.02,0.02,0,0,0.02,0.512,0.512
Baylor,21,5,33.7,16.94,7.74,0.72,1.34,0.596,0.599
Buffalo,65,14,0.64,0,0,0,0.09,0.588,0.588
Butler,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54
Cal State Bakersfield,56,15,1.5,0.18,0.02,0,0.1,0.513,0.501
California,20,4,39.84,13.38,5.26,0.8,1.37,0.621,0.607
Chattanooga,60,12,1.54,0.1,0,0,0.13,0.853,0.853
Cincinnati,19,9,29.72,13.94,6.16,0.8,1.18,0.618,0.645
Colorado,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562
Connecticut,24,9,17.84,8.86,3.42,0.48,0.95,0.691,0.691
Dayton,40,7,8.76,3.26,0.74,0.06,0.57,0.68,0.68
Duke,11,4,55.72,32.06,16.3,2.2,1.99,0.788,0.765
Fairleigh Dickinson,68,16,0.08,0,0,0,0.02,0.391,0.391
Florida Gulf Coast,62,16,0.45,0.03,0,0,0.04,0.634,0.576
Fresno State,51,14,3.32,0.3,0.04,0,0.22,0.506,0.506
Gonzaga,26,11,30.4,9.46,2.86,0.36,0.98,0.808,0.808
Green Bay,57,14,1.46,0.18,0.02,0,0.1,0.657,0.657
Hampton,66,16,0.02,0,0,0,0.01,0.531,0.531
Hawaii,42,13,6.72,1.28,0.26,0.04,0.32,0.844,0.811
Holy Cross,67,16,0.05,0,0,0,0.02,0.424,0.54
Indiana,14,5,45.56,19.86,10.22,1.8,1.71,0.553,0.611
Iona,58,13,1.76,0.16,0.02,0,0.17,0.686,0.686
Iowa State,22,4,31.14,10.14,3.7,0.52,1.32,0.656,0.758
Iowa,18,7,30.92,15.08,6.4,1.14,1.36,0.579,0.584
Kansas,2,1,75.56,55.46,35.4,13.28,3,0.823,0.759
Kentucky,9,4,50.94,25.38,13.48,3.44,1.89,0.824,0.78
Maryland,16,5,49.8,18.24,7.8,1.32,1.65,0.659,0.625
Miami (Fla.),12,3,48.9,22.3,9.34,2.04,1.79,0.674,0.605
Michigan State,1,2,77.78,60.36,35.38,14.4,3.08,0.72,0.72
Michigan,31,11,16.48,6.65,2.08,0.34,0.81,0.606,0.618
Middle Tennessee,53,15,0.82,0.14,0.04,0,0.05,0.612,0.607
NC-Asheville,54,15,0.86,0.06,0.04,0,0.07,0.562,0.562
NC-Wilmington,50,13,2.94,0.54,0.06,0,0.17,0.672,0.672
North Carolina,4,1,77.58,48,29.06,8.62,2.77,0.771,0.789
Northern Iowa,46,11,6.12,1.72,0.46,0,0.35,0.652,0.652
Notre Dame,36,6,14.22,5.34,1.52,0.1,0.73,0.667,0.665
Oklahoma,8,2,67.92,41.32,24.8,4.78,2.42,0.656,0.619
Oregon State,45,7,9.48,2.62,0.64,0,0.51,0.581,0.624
Oregon,13,1,59.26,30.76,14.38,1.92,2.09,0.706,0.647
Pittsburgh,29,10,24.06,9.5,2.86,0.3,0.92,0.729,0.729
Providence,43,9,9.94,2.86,0.8,0.02,0.59,0.607,0.59
Purdue,7,5,63.44,32.84,17.8,5.56,2.18,0.642,0.656
Saint Joseph's,38,8,10.86,3.56,1.08,0.08,0.51,0.596,0.596
Seton Hall,27,6,24.98,7.84,2.48,0.34,0.83,0.546,0.524
South Dakota State,59,12,3.64,0.34,0,0,0.2,0.54,0.54
Southern California,39,8,12.12,3.58,1.08,0.06,0.72,0.454,0.512
Southern,63,16,0.22,0.03,0,0,0.03,0.6,0.6
Stephen F. Austin,49,14,4.56,1.12,0.06,0,0.19,0.871,0.871
Stony Brook,52,13,1.96,0.2,0.04,0,0.13,0.553,0.553
Syracuse,34,10,12.64,5.9,1.56,0.14,0.77,0.74,0.74
Temple,48,10,2.86,0.5,0.12,0,0.24,0.643,0.65
Texas A&M,10,3,61.2,32.7,18.42,3.14,2.15,0.584,0.554
Texas Tech,37,8,8.9,2.66,0.72,0.1,0.57,0.484,0.669
Texas,23,6,31.22,13.24,6.16,0.48,1.26,0.625,0.729
Tulsa,47,11,7.4,1.91,0.39,0,0.49,0.662,0.622
Utah,25,3,41.3,12.74,3.74,0.36,1.41,0.566,0.596
Vanderbilt,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617
Villanova,6,2,65.36,39.84,21.88,6.1,2.4,0.689,0.66
VCU,30,10,21.1,8.04,3.26,0.22,0.95,0.706,0.646
Virginia,3,1,79.06,49.94,29.66,12.1,2.91,0.695,0.69
Weber State,61,15,1,0.1,0,0,0.09,0.65,0.65
West Virginia,5,3,67.98,46.56,26.34,8.18,2.51,0.648,0.709
Wichita State,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716
Wisconsin,35,7,17.76,5.94,2.02,0.12,0.72,0.737,0.715
Wisconsin,35,7,17.76,5.94,2.02,0.12,0.72,0.65,0.65
Xavier,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679
Yale,44,12,7.64,2.18,0.5,0.02,0.38,0.515,0.515
